,story,question,start,end
0,92257ec476bf09197a5f7d3fe4afa1fa0fa558b8,What did workers discover?,641,206
1,f86ec18903f4df98891df668cb48647f3f931b48,How many dollars was seized in property?,856,868
2,cd20536ba3ed67f206d5d648937177a677804789,what is the next step,56,74
3,3a6006a860997143e1b8ecc5764b1d303f55d3d2,Where did both play?,495,504
4,45d907378dd9b4d5b8b73243be6fb2f3f9a705bb,Where is a good spot for classic straight ahead jazz?,2076,2111
5,b4b59feabc7f0da438816390002e5279e75b5ebf,Who has racked up a fine?,509,536
6,2c4eb099a4e3b9212b5815ac774428d85e912e77,Who is Hosni Mubarak?,64,83
7,63cc837f2d755fbd45ca141544913b2df4ebb53c,What does the picture indicate?,777,820
8,a8618ed361a940864ac34807e8912e25f3a00832,What are critics saying?,1572,1612
9,580053e9e214da1f8e9854f0c6310ecd55288542,what is the laundry line?,0,0
10,0ad5d834479f8b88cc827c00fa26c3c617a39195,Where did the  Uyghurs go to?,125,163
11,d5fe125d490ce8d44ad5fca0419f3332b56bf228,Where was the spill?,112,127
12,ad2af6c1362a3f84000edd71fd752ad60549fec8,What organization did this men previously work for?,103,122
13,ead19faf4ea6f4d25742525fbb3cfe1efe936230,What artifacts were found?,1324,1433
14,8e95b0760e9e161b47b202cb497cb0c414d182e3,What does the iPhone app and book make easier?,289,304
15,99f188ddcbf253b2c17c79aedb8384470450e309,what is the name of WTA chief?,467,479
16,d92c5fe83cca7bbe0451c497c69399410a5d68a9,What is the opinion of Maury Klein?,293,383
17,6cade8dfb5eb6c7a587085f448e928bb5989af7f,Where did the war crimes occur?,222,242
18,44bcca7f794c9d786415eda744f5e2fcf4fadc73,Were there any fouls?,0,0
19,7d3718d9ae1c7c7515579fb91843db27add28d3b,What was the source of his information?,210,210
20,3dceddc0bbcad4753918f9793f9f21673b02920d,what did he say,235,53
21,af9c5da60afa299b146c6369bac332fb4e67e660,Who was photographer?,209,225
22,92cc73867ee55725cbfcab8bee8adcd0914d8b8a,When did she start the ab work?,1339,2042
23,8d07a0ef87fe87a423ec8d486834f2d698d2efa0,Who had their throats slit in their home?,334,381
24,371f206bd72e1f8f7b57bafd260b3c1d930a9d78,What position did Bob Dole have?,0,0
25,6f6ac3d970661914c9940e6e2eb2812fbfb3f88a,How long is a flight to Contadora from Panama City?,1542,1553
