,story,question,start,end
0,92257ec476bf09197a5f7d3fe4afa1fa0fa558b8,What did workers discover?,641,661
1,f86ec18903f4df98891df668cb48647f3f931b48,How many dollars was seized in property?,856,868
2,cd20536ba3ed67f206d5d648937177a677804789,what is the next step,0,0
3,3a6006a860997143e1b8ecc5764b1d303f55d3d2,Where did both play?,-1,27
4,45d907378dd9b4d5b8b73243be6fb2f3f9a705bb,Where is a good spot for classic straight ahead jazz?,-1,98
5,b4b59feabc7f0da438816390002e5279e75b5ebf,Who has racked up a fine?,99,110
6,2c4eb099a4e3b9212b5815ac774428d85e912e77,Who is Hosni Mubarak?,64,83
7,63cc837f2d755fbd45ca141544913b2df4ebb53c,What does the picture indicate?,1693,1712
8,a8618ed361a940864ac34807e8912e25f3a00832,What are critics saying?,-1,278
9,580053e9e214da1f8e9854f0c6310ecd55288542,what is the laundry line?,2129,2142
10,0ad5d834479f8b88cc827c00fa26c3c617a39195,Where did the  Uyghurs go to?,125,153
11,d5fe125d490ce8d44ad5fca0419f3332b56bf228,Where was the spill?,2575,2592
12,ad2af6c1362a3f84000edd71fd752ad60549fec8,What organization did this men previously work for?,103,122
13,ead19faf4ea6f4d25742525fbb3cfe1efe936230,What artifacts were found?,1324,1333
14,8e95b0760e9e161b47b202cb497cb0c414d182e3,What does the iPhone app and book make easier?,0,0
15,99f188ddcbf253b2c17c79aedb8384470450e309,what is the name of WTA chief?,467,479
16,d92c5fe83cca7bbe0451c497c69399410a5d68a9,What is the opinion of Maury Klein?,-1,40
17,6cade8dfb5eb6c7a587085f448e928bb5989af7f,Where did the war crimes occur?,0,0
18,44bcca7f794c9d786415eda744f5e2fcf4fadc73,Were there any fouls?,-1,133
19,7d3718d9ae1c7c7515579fb91843db27add28d3b,What was the source of his information?,195,210
20,3dceddc0bbcad4753918f9793f9f21673b02920d,what did he say,-1,101
21,af9c5da60afa299b146c6369bac332fb4e67e660,Who was photographer?,213,225
22,92cc73867ee55725cbfcab8bee8adcd0914d8b8a,When did she start the ab work?,-1,20
23,8d07a0ef87fe87a423ec8d486834f2d698d2efa0,Who had their throats slit in their home?,336,352
24,371f206bd72e1f8f7b57bafd260b3c1d930a9d78,What position did Bob Dole have?,137,150
25,6f6ac3d970661914c9940e6e2eb2812fbfb3f88a,How long is a flight to Contadora from Panama City?,5734,5751
26,26c3b3023f92b933a808f5ef0b41222e50662711,How long has he been president?,-1,19
27,5c5a8bc667c46f3cb85feb0535d7eeac5d5ad747,What impact could the virus allow?,-1,25
28,6390895126471a970b9eeb099f1c1a0c2930a2fa,What is Gerges urging the West to do ?,-1,61
29,fc3c4641abd0587e9b75f615fc12de9c6350bf45,What does Ortega say?,0,0
30,9f5a789344f92ea35c2fba5f7bc83ad36ba64973,Photos came from what source?,588,597
31,d9b00bf87eb5c79dc1a70587fbb0dae84a8d1517,On what date did Mays die?,-1,11
32,2e2413c9e4619ee4e00ff7d70e8e17bf788d1254,What type of nominations are they talking about?,0,0
33,07ef1d74392c67ca32807277f20037a163a0bb46,Who did Myanmar jail?,60,99
34,338cfb94f864418e8b3411cbabff0772b660230d,what caused the deaths?,2606,2649
35,319a55d58b8df1ffa124c3cc03c81521db05e22b,What was she dropped from?,53,69
36,c674d01c95cc502cce7afb9e923eaca938f426dd,What was the american sentenced to?,82,97
37,019d874e2b508993052b2c29501c188799584c06,Which awards dinner did he make comments at?,757,790
38,7e62422d8f842360b96b008208d1b0b527a2b740,When was boxing brought to Lyari?,1450,1457
